STAID,SOUID,DATE,TG,Q_TG
10,30,17560101,-87,0
10,30,17560102,-92,0
10,30,17560103,-86,0
10,30,17560104,-77,0
10,30,17560105,-72,0
10,30,17560106,-16,0
10,30,17560107,7,0
10,30,17560108,13,0
10,30,17560109,24,0
10,30,17560110,8,0
10,30,17560111,6,0
10,30,17560112,43,0
10,30,17560113,-2,0
10,30,17560114,-7,0
10,30,17560115,-57,0
10,30,17560116,-62,0
10,30,17560117,-100,0
10,30,17560118,-115,0
10,30,17560119,-62,0
10,30,17560120,8,0
10,30,17560121,18,0
10,30,17560122,-47,0
10,30,17560123,-47,0
10,30,17560124,5,0
