STAID,SOUID,DATE,TG,Q_TG
10,30,17560101,-8.7,0
10,30,17560102,-9.2,0
10,30,17560103,-8.6,0
10,30,17560104,-7.7,0
10,30,17560105,-7.2,0
10,30,17560106,-1.6,0
10,30,17560107,0.7,0
10,30,17560108,1.3,0
10,30,17560109,2.4,0
10,30,17560110,0.8,0
10,30,17560111,0.6,0
10,30,17560112,4.3,0
10,30,17560113,-0.2,0
10,30,17560114,-0.7,0
10,30,17560115,-5.7,0
10,30,17560116,-6.2,0
10,30,17560117,-10,0
10,30,17560118,-11.5,0
10,30,17560119,-6.2,0
10,30,17560120,0.8,0
10,30,17560121,1.8,0
10,30,17560122,-4.7,0
10,30,17560123,-4.7,0
10,30,17560124,0.5,0
10,30,17560125,-0.4,0
10,30,17560126,-1,0
10,30,17560127,-6.8,0
10,30,17560128,-3,0
10,30,17560129,1.3,0
10,30,17560130,3.8,0
10,30,17560131,4.8,0
10,30,17560201,0.3,0
10,30,17560202,-4.2,0
10,30,17560203,-4.3,0
10,30,17560204,-3.3,0
10,30,17560205,-1.2,0
10,30,17560206,0.5,0
10,30,17560207,3.3,0
10,30,17560208,0.8,0
10,30,17560209,-1,0
10,30,17560210,-0.6,0
10,30,17560211,0.3,0
10,30,17560212,-0.8,0
10,30,17560213,2.3,0
10,30,17560214,-2.3,0
10,30,17560215,-0.2,0
10,30,17560216,-0.2,0
10,30,17560217,-0.3,0
10,30,17560218,-1.8,0
